Order_ID,Delivery_Experience_Rating,Issue_Reported
01603720,4,None
8d1d2ed2,1,Wrong Address
132104b2,5,Damaged Package
ff04d8fb,2,Wrong Address
7efd5d10,1,Late Delivery
6e37769f,5,Damaged Package
c169fe8b,2,Late Delivery
b4d15cc9,2,Damaged Package
ff06e279,5,Late Delivery
d6c9a234,4,Damaged Package
94608062,5,None
c30e523e,5,Late Delivery
462b5473,3,Damaged Package
18e791e3,2,None
70888691,2,None
a26d9ed9,4,None
104e8c5d,4,Wrong Address
5aafbcea,3,Damaged Package
3c4e89e9,3,None
3ce163b4,3,Wrong Address
8a4e0777,4,None
6d9066d3,5,None
3ccd418d,2,Late Delivery
5e5e8b2f,2,None
6a1015d0,1,None
b79e6de8,4,Late Delivery
56cf556d,4,None
aee94c62,3,Late Delivery
7f32ef61,1,None
f061ff97,1,Wrong Address
bb31ef49,4,Late Delivery
8270dd0e,3,Late Delivery
2ff5c436,2,None
30da66ea,3,Wrong Address
dfcf5e84,2,None
8d070714,4,None
62ee4c28,3,None
f726832b,1,Wrong Address
253b0189,5,Damaged Package
2e7aa26a,1,Wrong Address
180834dd,2,Late Delivery
5774ce3b,4,None
8d7e9774,3,Damaged Package
368fe3b4,4,None
8efc9180,4,None
946b5588,2,None
bcb91102,4,None
74d55afc,3,Late Delivery
8639ceac,1,None
7e685417,4,None
72d48101,3,Late Delivery
8c327441,3,None
f19fddb0,2,None
4ef201dc,4,Damaged Package
58c5139d,2,None
a2c7b2ce,1,Late Delivery
30838426,1,None
dc8350c0,3,None
cf8fde3d,4,Late Delivery
0d7bda88,3,None
2a60d134,4,None
bad78cd3,2,None
efa27d96,1,None
41282643,1,None
0209fe59,2,None
3b818707,5,None
9f4652df,5,Damaged Package
ff2aef31,5,None
3060a960,4,None
2390c7e5,2,Late Delivery
16275530,4,Damaged Package
1e6adb92,4,None
8ed2ee1a,2,None
ae797607,4,None
0e3c8056,2,None
a08ec068,5,None
26b2161c,5,None
21695cc6,4,None
53a46f68,1,None
af83302f,2,None
b144331c,3,Late Delivery
4cce08d8,3,None
c9152e9c,4,None
d70161df,1,None
73f9d03c,2,None
6b7501de,5,Late Delivery
ffb95a69,4,Wrong Address
40e7b6df,2,None
de298fd9,2,None
f158e0b2,2,Late Delivery
71bfcbed,1,None
ee7537df,2,Damaged Package
9ce9c32c,1,None
41e90207,1,Late Delivery
a2be88d8,2,None
e7ff14c6,5,None
