Order_ID,Distance_km,Fuel_Charge,Total_Delivery_Cost
01603720,44.68,84.49,96.85
8d1d2ed2,44.09,83.38,131.44
132104b2,29.46,55.71,88.99
ff04d8fb,23.73,44.88,83.54
7efd5d10,21.23,40.15,68.9
6e37769f,30.93,58.49,77.82
c169fe8b,42.4,80.18,130.0
b4d15cc9,29.16,55.14,103.84
ff06e279,8.22,15.54,59.94
d6c9a234,16.7,31.58,78.23
94608062,34.08,64.45,97.45
c30e523e,33.05,62.5,87.21
462b5473,26.91,50.89,74.62
18e791e3,13.54,25.61,72.96
70888691,14.99,28.35,76.7
a26d9ed9,25.24,47.73,75.35
104e8c5d,20.94,39.6,73.88
5aafbcea,17.16,32.45,74.66
3c4e89e9,41.81,79.07,117.17
3ce163b4,26.19,49.53,94.32
8a4e0777,26.15,49.45,83.8
6d9066d3,22.55,42.64,75.94
3ccd418d,34.68,65.58,90.61
5e5e8b2f,10.43,19.72,32.65
6a1015d0,47.29,89.43,101.65
b79e6de8,7.02,13.28,29.35
56cf556d,36.09,68.25,80.56
aee94c62,35.81,67.72,99.13
7f32ef61,7.47,14.13,40.27
f061ff97,49.67,93.93,104.98
bb31ef49,3.65,6.9,17.78
8270dd0e,19.51,36.9,67.82
2ff5c436,22.39,42.34,74.3
30da66ea,40.53,76.65,88.14
dfcf5e84,3.43,6.49,43.29
8d070714,28.74,54.35,69.38
62ee4c28,11.79,22.3,52.08
f726832b,29.48,55.75,72.1
253b0189,33.02,62.44,74.0
2e7aa26a,3.64,6.88,25.37
180834dd,5.24,9.91,38.48
5774ce3b,6.09,11.52,51.28
8d7e9774,42.91,81.15,101.77
368fe3b4,46.48,87.9,125.3
8efc9180,23.01,43.51,88.02
946b5588,43.99,83.19,103.98
bcb91102,24.86,47.01,77.9
74d55afc,21.25,40.19,66.57
8639ceac,27.5,52.01,63.11
7e685417,39.93,75.51,101.18
72d48101,12.74,24.09,49.18
8c327441,16.48,31.17,66.05
f19fddb0,42.75,80.84,125.5
4ef201dc,45.97,86.93,123.8
