Order_ID,Order_Date,Delivery_Date,Delivery_Status,City,Carrier_ID,Delivery_Zone
01603720,2023-06-13,2023-06-17,Delivered,Pune,C006,Central
8d1d2ed2,2023-01-29,2023-02-02,Cancelled,Ahmedabad,C004,East
132104b2,2023-01-07,2023-01-09,Delayed,Hyderabad,C004,East
ff04d8fb,2023-03-12,2023-03-14,Delivered,Delhi,C007,North
7efd5d10,2023-03-04,2023-03-09,Delivered,Chennai,C003,North
6e37769f,2023-02-27,2023-03-01,Delivered,Ahmedabad,C003,West
c169fe8b,2023-02-05,2023-02-09,Delivered,Kolkata,C006,Central
b4d15cc9,2023-01-27,2023-01-31,Delayed,Bangalore,C009,Central
ff06e279,2023-06-23,2023-06-25,Delivered,Bangalore,C001,West
d6c9a234,2023-05-20,2023-05-25,Delayed,Bangalore,C005,Central
94608062,2023-01-23,2023-01-28,Delivered,Pune,C001,Central
c30e523e,2023-06-01,2023-06-02,Cancelled,Kolkata,C001,East
462b5473,2023-04-19,2023-04-21,Delayed,Mumbai,C003,Central
18e791e3,2023-01-09,2023-01-13,Delivered,Kolkata,C003,North
70888691,2023-01-08,2023-01-12,Delivered,Mumbai,C004,East
a26d9ed9,2023-01-24,2023-01-25,Delivered,Bangalore,C003,North
104e8c5d,2023-02-25,2023-02-27,Delivered,Hyderabad,C006,North
5aafbcea,2023-03-01,2023-03-06,Delivered,Hyderabad,C004,West
3c4e89e9,2023-05-10,2023-05-13,Delivered,Ahmedabad,C008,Central
3ce163b4,2023-06-04,2023-06-05,Delivered,Mumbai,C001,Central
8a4e0777,2023-01-07,2023-01-12,Delivered,Bangalore,C008,Central
6d9066d3,2023-05-24,2023-05-28,Delivered,Kolkata,C001,Central
3ccd418d,2023-02-20,2023-02-21,Delivered,Hyderabad,C001,East
5e5e8b2f,2023-06-16,2023-06-17,Delivered,Mumbai,C007,South
6a1015d0,2023-06-29,2023-07-02,Delivered,Ahmedabad,C001,North
b79e6de8,2023-05-20,2023-05-25,Delayed,Kolkata,C009,South
56cf556d,2023-04-18,2023-04-21,Delivered,Bangalore,C008,South
aee94c62,2023-02-26,2023-02-27,Delivered,Delhi,C001,South
7f32ef61,2023-04-25,2023-04-30,Delivered,Bangalore,C002,East
f061ff97,2023-05-31,2023-06-02,Delivered,Pune,C002,South
bb31ef49,2023-03-13,2023-03-14,Delivered,Bangalore,C002,East
8270dd0e,2023-01-02,2023-01-05,Delivered,Ahmedabad,C006,West
2ff5c436,2023-02-10,2023-02-13,Delivered,Kolkata,C004,West
30da66ea,2023-06-28,2023-07-01,Delayed,Ahmedabad,C008,West
dfcf5e84,2023-04-19,2023-04-22,Cancelled,Kolkata,C001,East
8d070714,2023-03-29,2023-04-01,Delayed,Chennai,C010,East
62ee4c28,2023-03-13,2023-03-17,Delivered,Chennai,C004,North
f726832b,2023-02-09,2023-02-10,Delivered,Kolkata,C010,South
253b0189,2023-02-25,2023-02-27,Delayed,Kolkata,C005,Central
2e7aa26a,2023-03-28,2023-03-30,Delivered,Delhi,C009,Central
180834dd,2023-01-27,2023-02-01,Delivered,Delhi,C005,South
5774ce3b,2023-01-24,2023-01-28,Delivered,Bangalore,C003,Central
8d7e9774,2023-04-08,2023-04-09,Delivered,Ahmedabad,C004,Central
368fe3b4,2023-01-25,2023-01-28,Delayed,Pune,C010,Central
8efc9180,2023-04-02,2023-04-05,Delivered,Ahmedabad,C007,East
946b5588,2023-03-30,2023-04-01,Delivered,Hyderabad,C001,East
bcb91102,2023-06-04,2023-06-06,Delivered,Ahmedabad,C006,East
74d55afc,2023-03-09,2023-03-13,Delivered,Pune,C008,South
8639ceac,2023-01-12,2023-01-13,Delivered,Delhi,C001,West
7e685417,2023-04-28,2023-04-29,Delivered,Bangalore,C008,Central
72d48101,2023-05-18,2023-05-23,Cancelled,Pune,C007,North
8c327441,2023-02-01,2023-02-04,Delayed,Ahmedabad,C001,East
f19fddb0,2023-04-07,2023-04-08,Delayed,Mumbai,C009,North
4ef201dc,2023-01-21,2023-01-22,Delayed,Chennai,C003,Central
58c5139d,2023-05-22,2023-05-26,Delivered,Pune,C002,West
a2c7b2ce,2023-03-17,2023-03-21,Delayed,Hyderabad,C007,North
30838426,2023-06-10,2023-06-15,Delivered,Bangalore,C003,Central
dc8350c0,2023-06-08,2023-06-11,Delivered,Pune,C001,Central
cf8fde3d,2023-04-03,2023-04-08,Delivered,Kolkata,C010,East
0d7bda88,2023-05-28,2023-06-01,Delivered,Ahmedabad,C003,West
2a60d134,2023-02-19,2023-02-22,Delivered,Mumbai,C006,Central
bad78cd3,2023-06-30,2023-07-04,Delivered,Chennai,C003,West
efa27d96,2023-01-18,2023-01-22,Delayed,Mumbai,C005,East
41282643,2023-01-12,2023-01-17,Delivered,Bangalore,C009,North
0209fe59,2023-06-19,2023-06-21,Delivered,Ahmedabad,C007,South
3b818707,2023-02-28,2023-03-02,Delivered,Delhi,C002,South
9f4652df,2023-03-16,2023-03-21,Delivered,Chennai,C001,South
ff2aef31,2023-01-21,2023-01-25,Delayed,Ahmedabad,C007,West
3060a960,2023-03-01,2023-03-05,Delivered,Mumbai,C004,South
2390c7e5,2023-01-26,2023-01-30,Cancelled,Delhi,C007,North
16275530,2023-04-08,2023-04-10,Delayed,Hyderabad,C006,Central
1e6adb92,2023-03-13,2023-03-16,Delivered,Bangalore,C007,West
8ed2ee1a,2023-04-27,2023-04-28,Delivered,Bangalore,C004,North
ae797607,2023-06-12,2023-06-17,Delayed,Chennai,C003,West
0e3c8056,2023-04-04,2023-04-09,Delayed,Mumbai,C005,West
a08ec068,2023-02-11,2023-02-15,Delayed,Hyderabad,C003,West
26b2161c,2023-04-05,2023-04-09,Delayed,Kolkata,C003,East
21695cc6,2023-04-01,2023-04-03,Delivered,Chennai,C004,Central
53a46f68,2023-02-23,2023-02-27,Delivered,Ahmedabad,C008,South
af83302f,2023-06-21,2023-06-24,Delivered,Kolkata,C002,East
b144331c,2023-03-10,2023-03-15,Delayed,Chennai,C004,Central
4cce08d8,2023-06-29,2023-06-30,Delivered,Mumbai,C003,South
c9152e9c,2023-06-24,2023-06-28,Delivered,Hyderabad,C007,East
d70161df,2023-06-15,2023-06-18,Delivered,Mumbai,C002,East
73f9d03c,2023-01-19,2023-01-20,Delivered,Bangalore,C001,North
6b7501de,2023-06-05,2023-06-07,Delivered,Kolkata,C010,East
ffb95a69,2023-06-12,2023-06-13,Delayed,Delhi,C001,West
40e7b6df,2023-02-13,2023-02-18,Delivered,Pune,C006,East
de298fd9,2023-05-17,2023-05-20,Delayed,Ahmedabad,C003,West
f158e0b2,2023-03-04,2023-03-09,Delivered,Bangalore,C007,Central
71bfcbed,2023-02-11,2023-02-12,Delivered,Bangalore,C008,Central
ee7537df,2023-04-29,2023-05-04,Delayed,Kolkata,C005,West
9ce9c32c,2023-04-08,2023-04-09,Delayed,Ahmedabad,C005,North
41e90207,2023-03-11,2023-03-13,Delivered,Chennai,C002,North
