Order_ID,Order_Date,Delivery_Date,Delivery_Status,City,Carrier_ID,Delivery_Zone,Distance_km,Fuel_Charge,Total_Delivery_Cost,Delivery_Experience_Rating,Issue_Reported,Carrier_Name,Avg_Delivery_Cost,Defect_Rate
01603720,2023-06-13,2023-06-17,Delivered,Pune,C006,Central,44.68,84.49,96.85,4,None,Carrier_6,82.09,0.04
8d1d2ed2,2023-01-29,2023-02-02,Cancelled,Ahmedabad,C004,East,44.09,83.38,131.44,1,Wrong Address,Carrier_4,93.62,0.04
132104b2,2023-01-07,2023-01-09,Delayed,Hyderabad,C004,East,29.46,55.71,88.99,5,Damaged Package,Carrier_4,93.62,0.04
ff04d8fb,2023-03-12,2023-03-14,Delivered,Delhi,C007,North,23.73,44.88,83.54,2,Wrong Address,Carrier_7,79.32,0.03
7efd5d10,2023-03-04,2023-03-09,Delivered,Chennai,C003,North,21.23,40.15,68.9,1,Late Delivery,Carrier_3,84.25,0.06
6e37769f,2023-02-27,2023-03-01,Delivered,Ahmedabad,C003,West,30.93,58.49,77.82,5,Damaged Package,Carrier_3,84.25,0.06
c169fe8b,2023-02-05,2023-02-09,Delivered,Kolkata,C006,Central,42.4,80.18,130.0,2,Late Delivery,Carrier_6,82.09,0.04
b4d15cc9,2023-01-27,2023-01-31,Delayed,Bangalore,C009,Central,29.16,55.14,103.84,2,Damaged Package,Carrier_9,56.69,0.02
ff06e279,2023-06-23,2023-06-25,Delivered,Bangalore,C001,West,8.22,15.54,59.94,5,Late Delivery,Carrier_1,104.96,0.07
d6c9a234,2023-05-20,2023-05-25,Delayed,Bangalore,C005,Central,16.7,31.58,78.23,4,Damaged Package,Carrier_5,101.88,0.09
94608062,2023-01-23,2023-01-28,Delivered,Pune,C001,Central,34.08,64.45,97.45,5,None,Carrier_1,104.96,0.07
c30e523e,2023-06-01,2023-06-02,Cancelled,Kolkata,C001,East,33.05,62.5,87.21,5,Late Delivery,Carrier_1,104.96,0.07
462b5473,2023-04-19,2023-04-21,Delayed,Mumbai,C003,Central,26.91,50.89,74.62,3,Damaged Package,Carrier_3,84.25,0.06
18e791e3,2023-01-09,2023-01-13,Delivered,Kolkata,C003,North,13.54,25.61,72.96,2,None,Carrier_3,84.25,0.06
70888691,2023-01-08,2023-01-12,Delivered,Mumbai,C004,East,14.99,28.35,76.7,2,None,Carrier_4,93.62,0.04
a26d9ed9,2023-01-24,2023-01-25,Delivered,Bangalore,C003,North,25.24,47.73,75.35,4,None,Carrier_3,84.25,0.06
104e8c5d,2023-02-25,2023-02-27,Delivered,Hyderabad,C006,North,20.94,39.6,73.88,4,Wrong Address,Carrier_6,82.09,0.04
5aafbcea,2023-03-01,2023-03-06,Delivered,Hyderabad,C004,West,17.16,32.45,74.66,3,Damaged Package,Carrier_4,93.62,0.04
3c4e89e9,2023-05-10,2023-05-13,Delivered,Ahmedabad,C008,Central,41.81,79.07,117.17,3,None,Carrier_8,123.83,0.06
3ce163b4,2023-06-04,2023-06-05,Delivered,Mumbai,C001,Central,26.19,49.53,94.32,3,Wrong Address,Carrier_1,104.96,0.07
8a4e0777,2023-01-07,2023-01-12,Delivered,Bangalore,C008,Central,26.15,49.45,83.8,4,None,Carrier_8,123.83,0.06
6d9066d3,2023-05-24,2023-05-28,Delivered,Kolkata,C001,Central,22.55,42.64,75.94,5,None,Carrier_1,104.96,0.07
3ccd418d,2023-02-20,2023-02-21,Delivered,Hyderabad,C001,East,34.68,65.58,90.61,2,Late Delivery,Carrier_1,104.96,0.07
5e5e8b2f,2023-06-16,2023-06-17,Delivered,Mumbai,C007,South,10.43,19.72,32.65,2,None,Carrier_7,79.32,0.03
