Carrier_Name,Avg_Defect_Rate,Avg_Delivery_Cost,On_Time_Delivery_Rate
Carrier_1,7.000000000000001,78.91650650650651,69.46946946946947
Carrier_10,8.0,79.56683401639344,70.1844262295082
Carrier_2,3.0,79.27607250755287,71.19838872104734
Carrier_3,6.0,79.98704934541793,67.472306143001
Carrier_4,4.0,79.02657692307692,68.65384615384616
Carrier_5,9.0,81.36730769230769,65.97633136094674
Carrier_6,4.0,79.91398203592814,69.56087824351297
Carrier_7,3.0,79.8786836935167,69.9410609037328
Carrier_8,6.0,79.39361746361747,69.33471933471932
Carrier_9,2.0,79.65330009970089,70.18943170488534
